               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02226,            0.011932,           0.0016515,             0.97035,             0.97379,             0.98326,             0.74114,            0.018723,            0.011265,           0.0001562,             0.00307,             0.00307,             0.00307
                  37,            0.021876,            0.011526,           0.0015207,             0.96993,             0.97493,             0.98327,             0.74446,            0.018511,             0.01123,          0.00012225,            0.002872,            0.002872,            0.002872
                  38,            0.021348,            0.011563,            0.001475,             0.97268,             0.97917,             0.98468,             0.74352,             0.01816,            0.011029,          0.00010844,            0.002674,            0.002674,            0.002674
                  39,            0.021431,            0.011581,           0.0013675,              0.9692,             0.98243,             0.98465,             0.74552,            0.018059,            0.010958,          8.6468e-05,            0.002476,            0.002476,            0.002476
                  40,            0.021272,            0.011355,           0.0013161,             0.97267,             0.97897,             0.98439,             0.75035,            0.017857,            0.010898,          7.9357e-05,            0.002278,            0.002278,            0.002278
                  41,            0.020483,            0.011307,           0.0012472,             0.97363,             0.97954,             0.98362,             0.75322,            0.017694,            0.010798,          4.7221e-05,             0.00208,             0.00208,             0.00208
                  42,             0.02027,            0.011051,           0.0011552,             0.97409,             0.97901,             0.98374,             0.75444,            0.017682,            0.010756,          4.9864e-05,            0.001882,            0.001882,            0.001882
                  43,            0.020412,            0.011352,            0.001056,             0.97575,             0.98301,             0.98513,             0.76062,            0.017245,            0.010607,          3.7169e-05,            0.001684,            0.001684,            0.001684
                  44,            0.019812,            0.010961,           0.0010049,             0.97391,             0.98334,             0.98509,             0.75848,            0.017198,             0.01059,          2.1601e-05,            0.001486,            0.001486,            0.001486
                  45,             0.01943,            0.011224,          0.00088013,             0.97579,              0.9845,             0.98533,             0.76622,            0.016823,            0.010475,          1.6764e-05,            0.001288,            0.001288,            0.001288
                  46,            0.019142,            0.010924,          0.00082448,             0.97664,             0.97929,             0.98458,              0.7672,            0.016851,            0.010436,          1.3791e-05,             0.00109,             0.00109,             0.00109
                  47,            0.018634,            0.010511,          0.00074107,             0.97811,             0.98292,             0.98495,             0.76931,            0.016651,            0.010335,          9.9573e-06,            0.000892,            0.000892,            0.000892
                  48,            0.018641,            0.010756,          0.00065486,             0.97869,             0.98269,             0.98512,             0.77406,            0.016366,            0.010247,          5.7556e-06,            0.000694,            0.000694,            0.000694
                  49,            0.018154,            0.010593,          0.00058218,             0.97944,             0.98636,              0.9854,             0.77723,            0.016175,            0.010123,          3.8961e-06,            0.000496,            0.000496,            0.000496
